순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
3649,D8FB,2023,074,001,13.682,PANSTAR GENIE,KMC0725,(주)팬스타라인닷컴,MSL,01,신항 다목적부두,2023-10-11 21:00,2023-10-12 12:30,MSL,01,신항 다목적부두,2023-10-11 21:00,2023-10-12 12:30,양적하,2023-10-13,허가완료
3650,961279,2023,007,046,69,보명호,BSU2828,주식회사남일마린,MYC,01,한진 중공업 조선소,2023-09-10 11:10,2023-09-10 11:30,,,,,,기타,2023-10-13,미허가
3651,MOEK5,2023,003,001,18.848,CELANDINE,KMC0155,한국머스크 (주),MSN,04,신항 2부두 1선석,2023-10-18 20:00,2023-10-19 17:00,MSN,04,신항 2부두 1선석,2023-10-18 20:00,2023-10-19 17:00,양적하,2023-10-13,허가완료
3652,961279,2023,007,047,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-09-10 11:40,2023-09-13 10:30,,,,,,기타,2023-10-13,미허가
3653,961279,2023,007,048,69,보명호,BSU2828,주식회사남일마린,MW5,01,5물량장 1선석,2023-09-13 10:45,2023-09-13 11:50,,,,,,기타,2023-10-13,미허가
3654,961279,2023,007,049,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-09-13 12:05,2023-09-13 13:55,,,,,,기타,2023-10-13,미허가
3655,961279,2023,007,051,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-09-13 15:55,2023-09-15 08:10,,,,,,기타,2023-10-13,미허가
3656,961279,2023,007,052,69,보명호,BSU2828,주식회사남일마린,MW5,01,5물량장 1선석,2023-09-15 08:35,2023-09-15 09:00,,,,,,기타,2023-10-13,미허가
3657,961279,2023,007,050,69,보명호,BSU2828,주식회사남일마린,MK4,05,감천 4부두 5선석,2023-09-13 14:40,2023-09-13 15:10,MK4,05,감천 4부두 5선석,2023-09-13 14:40,2023-09-13 15:10,기타,2023-10-13,허가완료
3658,961279,2023,007,053,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-09-15 09:20,2023-09-18 08:05,,,,,,기타,2023-10-13,미허가
3659,760245,2023,027,001,163,동명11호,BSK3312,청송해운(주),WAO,02,O박지 O2 묘지,2023-10-07 09:15,2023-10-07 13:05,WAO,02,O박지 O2 묘지,2023-10-07 09:15,2023-10-07 13:05,기타,2023-10-13,허가완료
3660,961279,2023,007,054,69,보명호,BSU2828,주식회사남일마린,MW5,01,5물량장 1선석,2023-09-18 08:25,2023-09-18 10:30,,,,,,기타,2023-10-13,미허가
3661,961279,2023,007,055,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-09-18 10:50,2023-09-22 10:20,,,,,,기타,2023-10-13,미허가
3662,V2ZR3,2023,003,002,1.008,ANIEK,KMC2009,벤라인에이전시즈코리아주식회사,MB7,04,7부두 74선석,2023-10-14 15:00,2023-10-21 18:00,MB7,04,7부두 74선석,2023-10-14 15:00,2023-10-21 18:00,양하,2023-10-13,허가완료
3663,961279,2023,007,056,69,보명호,BSU2828,주식회사남일마린,MW5,01,5물량장 1선석,2023-09-22 10:40,2023-09-22 14:10,,,,,,기타,2023-10-13,미허가
3664,961279,2023,007,057,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-09-22 14:25,2023-09-26 08:10,,,,,,기타,2023-10-13,미허가
3665,961279,2023,007,058,69,보명호,BSU2828,주식회사남일마린,MW5,01,5물량장 1선석,2023-09-26 08:25,2023-09-26 18:15,,,,,,기타,2023-10-13,미허가
3666,961279,2023,007,059,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-09-26 18:30,2023-09-27 07:30,,,,,,기타,2023-10-13,미허가
3667,760245,2023,028,001,163,동명11호,BSK3312,청송해운(주),OLH,01,청학안벽,2023-10-10 11:55,2023-10-10 13:05,OLH,01,청학안벽,2023-10-10 11:55,2023-10-10 13:05,기타,2023-10-13,허가완료
3668,160063,2023,021,001,1.772,스카이케미,BSZ7486,정우해운주식회사,WAN,02,남외항 N-2박지,2023-10-05 07:10,2023-10-11 08:37,WAN,02,남외항 N-2박지,2023-10-05 07:10,2023-10-11 08:37,기타,2023-10-13,허가완료
3669,760245,2023,028,002,163,동명11호,BSK3312,청송해운(주),MWB,01,봉래동물량장,2023-10-10 13:40,2023-10-11 06:55,MWB,01,봉래동물량장,2023-10-10 13:40,2023-10-11 06:55,기타,2023-10-13,허가완료
3670,961279,2023,007,060,69,보명호,BSU2828,주식회사남일마린,OLH,01,청학안벽,2023-09-27 07:50,2023-09-27 08:45,,,,,,기타,2023-10-13,미허가
3671,760245,2023,028,003,163,동명11호,BSK3312,청송해운(주),OLH,01,청학안벽,2023-10-11 07:15,2023-10-11 07:20,OLH,01,청학안벽,2023-10-11 07:15,2023-10-11 07:20,기타,2023-10-13,허가완료
3672,170036,2023,086,001,438,17유성호,BSK9407,세양상사,MS3,04,신항 3부두 4선석,2023-10-10 09:50,2023-10-10 14:55,MS3,04,신항 3부두 4선석,2023-10-10 09:50,2023-10-10 14:55,양하,2023-10-13,허가완료
3673,170036,2023,086,002,438,17유성호,BSK9407,세양상사,MDY,01,영도(KOCO) 돌핀,2023-10-10 17:50,2023-10-10 20:00,MDY,01,영도(KOCO) 돌핀,2023-10-10 17:50,2023-10-10 20:00,적하,2023-10-13,허가완료
3674,170036,2023,086,003,438,17유성호,BSK9407,세양상사,MW5,01,5물량장 1선석,2023-10-10 20:20,2023-10-11 04:00,MW5,01,5물량장 1선석,2023-10-10 20:20,2023-10-11 04:00,출항대기,2023-10-13,허가완료
3675,961279,2023,008,001,69,보명호,BSU2828,주식회사남일마린,*LP,01,대평동호안,2023-09-27 09:00,2023-09-27 11:20,,,,,,기타,2023-10-13,미허가
3676,160064,2023,030,001,2.458,제1은희호,BSB2179,(주)필코마린,WAO,02,O박지 O2 묘지,2023-10-13 11:00,2023-10-13 18:00,WAO,02,O박지 O2 묘지,2023-10-13 11:00,2023-10-13 18:00,출항대기,2023-10-13,허가완료
3677,BZYS8,2023,002,001,954,XINHAI 1209,BSC0325,예일교역,WAN,03,남외항 N-3박지,2023-10-13 11:30,2023-10-13 15:00,WAN,03,남외항 N-3박지,2023-10-13 11:30,2023-10-13 15:00,기타,2023-10-13,허가완료
3678,3ERR4,2023,035,001,9.549,JVK STAR,BSC2242,(주)웨이포인트포트서비스코리아리미티드,WAN,03,남외항 N-3박지,2023-10-13 12:00,2023-10-14 18:00,WAN,03,남외항 N-3박지,2023-10-13 12:00,2023-10-14 18:00,통과선박,2023-10-13,허가완료
3679,160077,2023,001,003,695,해영1300호,BSZ7350,해영기업,MWB,01,봉래동물량장,2023-09-28 18:00,2023-10-10 11:00,MWB,01,봉래동물량장,2023-09-28 18:00,2023-10-10 11:00,기타,2023-10-13,허가완료
3680,140052,2023,014,001,1.909,세양글로리,BSK2674,세양쉬핑(주),WAN,02,남외항 N-2박지,2023-10-13 16:00,2023-10-14 09:00,WAN,02,남외항 N-2박지,2023-10-13 16:00,2023-10-14 09:00,기타,2023-10-13,허가완료
3681,130063,2023,042,001,149,13대신호,BSB2344,명성마린,MW5,01,5물량장 1선석,2023-10-12 14:00,2023-10-12 16:30,MW5,01,5물량장 1선석,2023-10-12 14:00,2023-10-12 16:30,접안대기,2023-10-13,허가완료
3682,130063,2023,042,002,149,13대신호,BSB2344,명성마린,OLD,01,동명호안,2023-10-12 16:55,2023-10-12 17:50,,,,,,접안대기,2023-10-13,미허가
3683,130063,2023,042,003,149,13대신호,BSB2344,명성마린,MS5,01,신항 5부두 1선석,2023-10-12 20:35,2023-10-12 21:50,,,,,,접안대기,2023-10-13,미허가
3684,170002,2023,029,001,237,신정3호,BSU2685,(주)신정마린,MW5,01,5물량장 1선석,2023-09-19 08:40,2023-10-01 13:55,MW5,01,5물량장 1선석,2023-09-19 08:40,2023-10-01 13:55,접안대기,2023-10-13,허가완료
3685,130074,2023,077,001,291,덕진호,BSZ7419,(주)덕진해운,MW5,01,5물량장 1선석,2023-09-27 20:00,2023-09-27 20:30,MW5,01,5물량장 1선석,2023-09-27 20:00,2023-09-27 20:30,출항대기,2023-10-13,허가완료
3686,086294,2023,005,001,880,5002 성신호,BSK2710,성신선박(주),OLH,01,청학안벽,2023-10-13 10:30,2023-10-15 20:00,OLH,01,청학안벽,2023-10-13 10:30,2023-10-15 20:00,출항대기,2023-10-13,허가완료
3687,DSPP7,2023,008,002,4.060,엠에스그레이스,BSK0185,(주)영창기업사,MBD,02,동명부두 D2선석,2023-10-14 12:00,2023-10-15 07:00,MBD,02,동명부두 D2선석,2023-10-14 12:00,2023-10-15 07:00,양하,2023-10-13,허가완료
3688,040651,2023,032,002,54,울산105호,USK2215,(주)울산선박,MWB,01,봉래동물량장,2023-10-13 14:00,2023-10-16 23:00,MWB,01,봉래동물량장,2023-10-13 14:00,2023-10-16 23:00,기타,2023-10-13,허가완료
3689,JVYK7,2023,005,001,1.989,WIN 6,BSC2297,케이엠에이전시,MB7,03,7부두 73선석,2023-10-16 08:00,2023-10-16 18:00,MB7,03,7부두 73선석,2023-10-16 08:00,2023-10-16 18:00,적하,2023-10-13,허가완료
3690,950031,2023,010,002,117,금신102호,BSZ9366,대경해운,OLT,01,대교동호안,2023-04-19 03:30,2023-04-27 11:20,,,,,,기타,2023-10-13,미허가
3691,060181,2023,012,001,770,덕양5001호,BSZ2734,덕성기업,OLH,01,청학안벽,2023-10-11 00:00,2023-10-13 23:00,OLH,01,청학안벽,2023-10-11 00:00,2023-10-13 23:00,기타,2023-10-13,허가완료
3692,041198,2023,001,002,1.151,칠성 5800호,BSM0040,칠성선박,MKD,02,다대부두 2선석,2023-10-14 00:00,2023-10-20 00:00,MKD,02,다대부두 2선석,2023-10-14 00:00,2023-10-20 00:00,기타,2023-10-13,허가완료
3693,950031,2023,010,003,117,금신102호,BSZ9366,대경해운,OLS,01,동삼안벽,2023-04-27 11:45,2023-04-27 12:40,,,,,,기타,2023-10-13,미허가
3694,961279,2023,009,001,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-09-27 11:30,2023-09-30 11:45,,,,,,기타,2023-10-13,미허가
3695,950031,2023,010,004,117,금신102호,BSZ9366,대경해운,OLT,01,대교동호안,2023-04-27 13:04,2023-05-03 07:49,,,,,,기타,2023-10-13,미허가
3696,961279,2023,009,002,69,보명호,BSU2828,주식회사남일마린,MW5,01,5물량장 1선석,2023-09-30 12:05,2023-09-30 14:55,,,,,,기타,2023-10-13,미허가
3697,JVHB7,2023,005,001,5.998,SEAGRAND,BSC2144,글로벌오프쇼어마린서비스(주),MBR,02,감만부두 2선석,2023-10-13 23:00,2023-10-15 23:00,MBR,02,감만부두 2선석,2023-10-13 23:00,2023-10-15 23:00,적하,2023-10-13,허가완료
3698,961279,2023,009,003,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-09-30 15:15,2023-10-06 09:45,,,,,,기타,2023-10-13,미허가
3699,961279,2023,009,004,69,보명호,BSU2828,주식회사남일마린,MW5,01,5물량장 1선석,2023-10-06 10:05,2023-10-06 11:20,,,,,,기타,2023-10-13,미허가
3700,961279,2023,009,005,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-10-06 11:40,2023-10-07 11:20,,,,,,기타,2023-10-13,미허가
3701,910116,2023,002,009,74,협성T-2,BSK2103,(주)협성종합건업,MWB,01,봉래동물량장,2023-10-09 10:00,2023-10-10 09:42,,,,,,기타,2023-10-13,미허가
3702,961279,2023,009,006,69,보명호,BSU2828,주식회사남일마린,MW5,01,5물량장 1선석,2023-10-07 11:35,2023-10-07 12:30,,,,,,기타,2023-10-13,미허가
3703,961279,2023,009,007,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-10-07 12:45,2023-10-08 21:50,,,,,,기타,2023-10-13,미허가
3704,961279,2023,009,008,69,보명호,BSU2828,주식회사남일마린,MW5,01,5물량장 1선석,2023-10-08 22:10,2023-10-09 09:15,,,,,,기타,2023-10-13,미허가
3705,961279,2023,009,009,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-10-09 09:30,2023-10-11 08:25,,,,,,기타,2023-10-13,미허가
3706,961279,2023,009,010,69,보명호,BSU2828,주식회사남일마린,MW5,01,5물량장 1선석,2023-10-11 08:45,2023-10-11 10:45,,,,,,기타,2023-10-13,미허가
3707,961279,2023,009,011,69,보명호,BSU2828,주식회사남일마린,MWB,01,봉래동물량장,2023-10-11 11:10,2023-10-12 08:30,,,,,,기타,2023-10-13,미허가
3708,C6QO7,2023,005,001,9.141,RESOLUTION,KMS8811,천경해운(주),MB6,01,자성대부두 61선석,2023-10-12 19:00,2023-10-13 04:00,MB6,01,자성대부두 61선석,2023-10-12 19:00,2023-10-13 04:00,양적하,2023-10-13,허가완료
3709,3EZI,2023,003,001,192.237,MSC MAYA,KMC0326,엠에스씨코리아(주),MSN,08,신항 2부두 5선석,2023-10-16 18:00,2023-10-18 08:00,MSN,08,신항 2부두 5선석,2023-10-16 18:00,2023-10-18 08:00,양적하,2023-10-13,허가완료
3710,150038,2023,002,001,930,강남 5005호,BSK2214,(주)강남선박,OLH,01,청학안벽,2023-10-13 18:00,2023-10-16 12:00,OLH,01,청학안벽,2023-10-13 18:00,2023-10-16 12:00,기타,2023-10-13,허가완료
3711,130074,2023,078,001,291,덕진호,BSZ7419,(주)덕진해운,MW5,01,5물량장 1선석,2023-09-29 06:30,2023-09-30 14:50,MW5,01,5물량장 1선석,2023-09-29 06:30,2023-09-30 14:50,출항대기,2023-10-13,허가완료
3712,100810,2022,001,042,1.036,더블유제이 비피1,BSF5017,웅진개발(주),OLS,01,동삼안벽,2023-10-16 00:00,2023-10-30 00:00,OLS,01,동삼안벽,2023-10-16 00:00,2023-10-30 00:00,기타,2023-10-13,허가완료
3713,100767,2023,001,022,481,더블유제이 에스이피1,BSF5017,웅진개발(주),OLH,01,청학안벽,2023-10-16 00:00,2023-10-30 00:00,OLH,01,청학안벽,2023-10-16 00:00,2023-10-30 00:00,기타,2023-10-13,허가완료
3714,100056,2023,004,001,1.339,에이치엔3001호,BSZ2808,영신해운,OLH,01,청학안벽,2023-10-14 05:00,2023-10-15 18:00,OLH,01,청학안벽,2023-10-14 05:00,2023-10-15 18:00,기타,2023-10-13,허가완료
3715,100056,2023,005,001,1.339,에이치엔3001호,BSZ2808,영신해운,OLH,01,청학안벽,2023-10-16 05:00,2023-10-17 18:00,OLH,01,청학안벽,2023-10-16 05:00,2023-10-17 18:00,기타,2023-10-13,허가완료
3716,3FBA5,2023,017,001,4.713,WAKABA,BSC2203,주식회사 스완쉬핑,MBU,02,연합부두 연2선석,2023-10-15 22:00,2023-10-16 18:00,WAN,03,남외항 N-3박지,2023-10-15 22:00,2023-10-16 18:00,양하,2023-10-13,허가완료
3717,DSEX8,2023,074,002,3.994,SUNNY OAK,KMS8832,고려해운(주),WAE,02,E박지 E2 묘지,2023-10-14 18:00,2023-10-15 21:00,WAE,02,E박지 E2 묘지,2023-10-14 18:00,2023-10-15 21:00,출항대기,2023-10-13,허가완료
3718,V7UJ2,2023,041,001,9.520,STAR SKIPPER,KMS8833,남성해운(주),WAM,08,M박지 M8 묘지,2023-10-16 14:00,2023-10-17 14:00,MBS,01,신선대부두 1선석,2023-10-16 14:00,2023-10-17 14:00,화물대기,2023-10-13,허가완료
3719,021781,2023,001,015,75,현진호,BSR2380,(주)월드환경,MQD,01,대선조선안벽,2023-10-16 00:00,2023-10-31 23:59,,,,,,기타,2023-10-13,미허가
3720,120039,2023,069,003,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-10-11 17:20,2023-10-12 14:47,MW5,01,5물량장 1선석,2023-10-11 17:20,2023-10-12 14:47,접안대기,2023-10-13,허가완료
3721,180012,2023,001,015,183,해덕1호,BSR2380,(주)월드환경,MW5,01,5물량장 1선석,2023-10-16 00:00,2023-10-31 23:59,,,,,,기타,2023-10-13,미허가
3722,UBHE3,2023,005,001,4.295,ANATOLIY LARIN,BSC0404,아리스타쉬핑 주식회사,MK1,04,감천 1부두 4선석,2023-10-15 12:00,2023-10-20 18:00,MK2,02,감천 2부두 2선석,2023-10-15 12:00,2023-10-20 18:00,적하,2023-10-13,허가완료
3723,120039,2023,069,004,223,삼성호,BSK3377,보림해운 주식회사,MDY,01,영도(KOCO) 돌핀,2023-10-12 15:00,2023-10-12 16:30,MDY,01,영도(KOCO) 돌핀,2023-10-12 15:00,2023-10-12 16:30,적하,2023-10-13,허가완료
3724,180003,2023,011,002,1.974,세양프라임,BSK2674,세양쉬핑(주),WAM,08,M박지 M8 묘지,2023-10-14 20:00,2023-10-15 10:00,WAM,08,M박지 M8 묘지,2023-10-14 20:00,2023-10-15 10:00,급유,2023-10-13,허가완료
3725,UGHB,2023,003,001,748,IRIDA,BSZ7352,(주)제이피엘,MK2,02,감천 2부두 2선석,2023-10-16 08:00,2023-10-17 18:00,WAN,01,남외항 N-1박지,2023-10-16 08:00,2023-10-17 18:00,양하,2023-10-13,허가완료
3726,UHCW,2023,005,003,3.206,OPAL,KMC0131,부산선박(주),MK2,03,감천 2부두 3선석,2023-10-14 07:00,2023-10-14 18:00,MK2,03,감천 2부두 3선석,2023-10-14 07:00,2023-10-14 18:00,수리,2023-10-13,허가완료
3727,UHCW,2023,005,002,3.206,OPAL,KMC0131,부산선박(주),MK2,02,감천 2부두 2선석,2023-10-13 12:00,2023-10-15 18:00,MK2,02,감천 2부두 2선석,2023-10-13 12:00,2023-10-15 18:00,수리,2023-10-13,허가완료
3728,120039,2023,069,005,223,삼성호,BSK3377,보림해운 주식회사,WAN,03,남외항 N-3박지,2023-10-12 17:30,2023-10-12 20:10,WAN,03,남외항 N-3박지,2023-10-12 17:30,2023-10-12 20:10,양하,2023-10-13,허가완료
3729,120039,2023,069,006,223,삼성호,BSK3377,보림해운 주식회사,MB6,03,자성대부두 63선석,2023-10-12 21:15,2023-10-12 23:27,MB6,03,자성대부두 63선석,2023-10-12 21:15,2023-10-12 23:27,양하,2023-10-13,허가완료
3730,120039,2023,069,007,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-10-12 23:40,2023-10-13 00:15,MW5,01,5물량장 1선석,2023-10-12 23:40,2023-10-13 00:15,접안대기,2023-10-13,허가완료
3731,200035,2023,082,002,497,우원호,BSZ3327,우원마린 주식회사,OLD,01,동명호안,2023-10-10 07:45,2023-10-10 14:20,OLD,01,동명호안,2023-10-10 07:45,2023-10-10 14:20,적하,2023-10-13,허가완료
3732,200035,2023,082,003,497,우원호,BSZ3327,우원마린 주식회사,MW5,01,5물량장 1선석,2023-10-10 15:00,2023-10-11 06:25,MW5,01,5물량장 1선석,2023-10-10 15:00,2023-10-11 06:25,출항대기,2023-10-13,허가완료
3733,DIFL2,2023,003,001,153.148,AL JMELIYAH,KMC0360,하파그로이드코리아(주),MS3,02,신항 3부두 2선석,2023-10-13 17:00,2023-10-14 11:00,MS3,02,신항 3부두 2선석,2023-10-13 17:00,2023-10-14 11:00,적하,2023-10-13,허가완료
3734,200035,2023,083,001,497,우원호,BSZ3327,우원마린 주식회사,OLD,01,동명호안,2023-10-12 00:40,2023-10-12 07:30,OLD,01,동명호안,2023-10-12 00:40,2023-10-12 07:30,적하,2023-10-13,허가완료
3735,DSFP,2023,008,002,90,강남티27,BSK2214,(주)강남선박,MWB,01,봉래동물량장,2023-10-12 21:20,2023-10-13 07:10,MWB,01,봉래동물량장,2023-10-12 21:20,2023-10-13 07:10,기타,2023-10-13,허가완료
3736,CQUN,2023,001,002,3.952,JSP MOEN,BSC2172,(주)진웅마리타임,MSL,01,신항 다목적부두,2023-10-14 08:00,2023-10-14 15:00,MSL,01,신항 다목적부두,2023-10-14 08:00,2023-10-14 15:00,적하,2023-10-13,허가완료
3737,194803,2023,102,001,499,송백,MPU1065,송원해운(주),MW5,01,5물량장 1선석,2023-10-07 09:00,2023-10-07 09:35,MW5,01,5물량장 1선석,2023-10-07 09:00,2023-10-07 09:35,기타,2023-10-13,허가완료
3738,5LJT6,2023,005,001,18.724,SONGA PANTHER,KMC0748,씨엠에이씨지엠코리아,MS6,01,신항 6부두 1선석,2023-10-14 01:00,2023-10-14 18:00,MS6,01,신항 6부두 1선석,2023-10-14 01:00,2023-10-14 18:00,양적하,2023-10-13,허가완료
3739,3FUH7,2023,013,001,18.502,A GALAXY,KMC2062,(주)팜코지엘에스,MBR,E3,신감만부두 3선석,2023-10-13 18:00,2023-10-14 12:00,MBR,E3,신감만부두 3선석,2023-10-13 18:00,2023-10-14 12:00,적하,2023-10-13,허가완료
3740,JM6512,2023,131,001,16.187,HAMAYUU,KMC8420,부관훼리(주),MBF,11,신국제여객터미널 11선석,2023-10-14 07:00,2023-10-14 21:00,MBF,11,신국제여객터미널 11선석,2023-10-14 07:00,2023-10-14 21:00,양적하,2023-10-13,허가완료
3741,190008,2023,098,001,579,부광호,BSK3316,대건 이엔씨,MW5,01,5물량장 1선석,2023-10-12 18:35,2023-10-13 03:00,MW5,01,5물량장 1선석,2023-10-12 18:35,2023-10-13 03:00,기타,2023-10-13,허가완료
3742,V2GK7,2023,011,001,17.769,MCC SHENZHEN,KMC0155,한국머스크 (주),MSN,04,신항 2부두 1선석,2023-10-15 19:00,2023-10-16 04:00,MSN,04,신항 2부두 1선석,2023-10-15 19:00,2023-10-16 04:00,양적하,2023-10-13,허가완료
3743,V3EV3,2023,004,002,1.940,JINHUA 16,BSC2203,주식회사 스완쉬핑,MK2,03,감천 2부두 3선석,2023-10-15 17:00,2023-10-17 14:00,MK2,03,감천 2부두 3선석,2023-10-15 17:00,2023-10-17 14:00,양하,2023-10-13,허가완료
3744,8RCI2,2023,003,001,3.624,HUNG SEUN,BSC0408,(주)경원마린,MK2,04,감천 2부두 4선석,2023-10-13 20:00,2023-10-15 18:00,WAN,03,남외항 N-3박지,2023-10-13 20:00,2023-10-15 18:00,적하,2023-10-13,허가완료
3745,998304,2023,012,003,70,대명1호,BSZ9932,명성티엔비,MK3,01,감천 3부두 1선석,2023-09-23 06:30,2023-09-23 15:50,MK3,01,감천 3부두 1선석,2023-09-23 06:30,2023-09-23 15:50,접안대기,2023-10-13,허가완료
3746,998304,2023,012,001,70,대명1호,BSZ9932,명성티엔비,MK3,01,감천 3부두 1선석,2023-09-22 06:10,2023-09-22 16:17,MK3,01,감천 3부두 1선석,2023-09-22 06:10,2023-09-22 16:17,접안대기,2023-10-13,허가완료
3747,UBZP8,2023,001,003,1.523,ELLADORA,BSC2228,(주)케이티아이 중앙동지점,MK3,01,감천 3부두 1선석,2023-10-14 07:00,2023-10-18 18:00,MK3,01,감천 3부두 1선석,2023-10-14 07:00,2023-10-18 18:00,양적하,2023-10-13,허가완료
3748,UBIH4,2023,006,001,6.989,TAVRIA,BSC0303,피닉스해운(주),MK3,02,감천 3부두 2선석,2023-10-06 18:00,2023-10-11 18:00,WAN,03,남외항 N-3박지,2023-10-06 18:00,2023-10-11 18:00,양하,2023-10-13,허가완료
3749,BI2602,2023,001,001,1.062,XING HUA SHENG NO.686,BSC0325,예일교역,MK3,02,감천 3부두 2선석,2023-10-14 07:00,2023-10-17 17:00,MK1,02,감천 1부두 2선석,2023-10-14 07:00,2023-10-17 17:00,양하,2023-10-13,허가완료
3750,UBYX4,2023,001,007,1.572,KAPITAN ALEKSANDROV,KMC0337,그로발스타해운(주),MK3,03,감천 3부두 3선석,2023-10-16 09:00,2023-10-20 18:00,MK3,01,감천 3부두 1선석,2023-10-16 09:00,2023-10-20 18:00,적하,2023-10-13,허가완료
3751,UBZN7,2023,006,002,3.351,URGULL,BSZ7268,폴라리스마린서비스주식회사,MK3,03,감천 3부두 3선석,2023-10-11 10:00,2023-10-19 22:00,MK3,03,감천 3부두 3선석,2023-10-11 10:00,2023-10-19 22:00,양적하,2023-10-13,허가완료
3752,UBER9,2023,001,003,827,GURD,BSC2161,에베레스트 쉬핑(주),MK4,01,감천 4부두1선석(국제수산물부두),2023-10-16 06:00,2023-10-31 15:00,MK4,01,감천 4부두1선석(국제수산물부두),2023-10-16 06:00,2023-10-31 15:00,수리,2023-10-13,허가완료
3753,998304,2023,012,002,70,대명1호,BSZ9932,명성티엔비,MK4,05,감천 4부두 5선석,2023-09-22 16:30,2023-09-23 06:18,MK4,05,감천 4부두 5선석,2023-09-22 16:30,2023-09-23 06:18,접안대기,2023-10-13,허가완료
3754,V3ZJ8,2023,002,001,2.797,FU HAI 8,BSC2053,순항선박주식회사,MK5,02,감천 5부두 2선석,2023-10-15 20:00,2023-10-19 17:00,MK5,02,감천 5부두 2선석,2023-10-15 20:00,2023-10-19 17:00,양하,2023-10-13,허가완료
3755,3EXG6,2023,003,001,5.488,SILVER SCORPIO,BSC2130,에이치알쉬핑(주),MK6,01,감천 6부두 1선석,2023-10-15 02:00,2023-10-16 02:00,MK6,01,감천 6부두 1선석,2023-10-15 02:00,2023-10-16 02:00,양하,2023-10-13,허가완료
3756,DSPP3,2023,005,001,4.972,YN OCEAN,BSC2172,(주)진웅마리타임,MK6,01,감천 6부두 1선석,2023-10-16 21:00,2023-10-17 12:00,MK6,01,감천 6부두 1선석,2023-10-16 21:00,2023-10-17 12:00,양하,2023-10-13,허가완료
3757,V3HD,2023,002,001,2.998,HONG YANG 18,BSC0362,엘에스해운(주),MK6,03,감천 6부두 3선석,2023-10-14 08:00,2023-10-17 19:00,WAN,03,남외항 N-3박지,2023-10-14 08:00,2023-10-17 19:00,양하,2023-10-13,허가완료
3758,969278,2023,011,002,1.005,대성 8호,BSK0118,(주)대성해운,MK7,02,감천 7부두 2선석,2023-10-15 08:00,2032-10-15 13:00,MK7,02,감천 7부두 2선석,2023-10-15 08:00,2032-10-15 13:00,적하,2023-10-13,허가완료
3759,3E2379,2023,001,001,35.906,EVA PARIS,OST0019,에스케이해운 주식회사,MK7,02,감천 7부두 2선석,2023-10-15 06:00,2023-10-18 23:00,MK7,02,감천 7부두 2선석,2023-10-15 06:00,2023-10-18 23:00,적하,2023-10-13,허가완료
3760,3FVS4,2023,003,001,2.561,SHENG HE,BSC0336,씨라이트해운(주),MKC,02,감천 중앙부두 2선석,2023-10-15 09:00,2023-10-17 18:00,MKC,02,감천 중앙부두 2선석,2023-10-15 09:00,2023-10-17 18:00,양하,2023-10-13,허가완료
3761,LAZV5,2023,003,001,32.844,STAR JAPAN,KMC2009,벤라인에이전시즈코리아주식회사,MKC,03,감천 중앙부두 3선석,2023-10-15 18:00,2023-10-17 12:00,MKC,03,감천 중앙부두 3선석,2023-10-15 18:00,2023-10-17 12:00,양하,2023-10-13,허가완료
3762,UHVI,2023,003,001,654,ADONIS,BSZ7352,(주)제이피엘,MKD,01,다대부두 1선석,2023-10-16 08:00,2023-11-15 18:00,MKD,01,다대부두 1선석,2023-10-16 08:00,2023-11-15 18:00,수리,2023-10-13,허가완료
3763,DSRO8,2023,006,004,4.429,MONONOK,BSC0177,(주)가나마린,MK3,01,감천 3부두 1선석,2023-10-17 07:00,2023-10-20 18:00,MK3,02,감천 3부두 2선석,2023-10-17 07:00,2023-10-20 18:00,양하,2023-10-13,허가완료
3764,160031,2023,017,001,2.041,트리톤,BSK3210,다온물류 주식회사,MK6,01,감천 6부두 1선석,2023-10-14 10:00,2023-10-15 12:00,WAN,02,남외항 N-2박지,2023-10-14 10:00,2023-10-15 12:00,적하,2023-10-13,허가완료
